,structure,Density
712,RSM3353,1.48901
713,RSM1794,0.847829
714,RSM0367,1.12249
715,RSM2994,1.00761
716,RSM2818,1.20242
717,RSM4460,0.95769
718,RSM3387,1.16474
719,RSM1529,1.27494
720,RSM4500,1.55048
721,RSM3992,0.163737
722,RSM3749,0.958563
723,RSM3710,1.26322
724,RSM4289,0.953025
725,RSM1309,1.22581
726,RSM0785,2.33186
727,RSM2743,1.49308
728,RSM3912,0.974919
729,RSM1084,1.34683
730,RSM0158,1.13241
731,RSM1585,1.33541
732,RSM0449,1.8003
733,RSM3091,0.565182
734,RSM3213,1.451
735,RSM0548,1.24168
736,RSM0451,1.06384
737,RSM4597,0.987714
738,RSM2222,1.25129
739,RSM1174,1.51914
740,RSM1773,1.24669
741,RSM3834,1.05564
742,RSM3877,1.31762
743,RSM2504,0.994211
744,RSM2457,1.17023
745,RSM0038,2.02647
746,RSM2774,0.982395
747,RSM3565,1.01791
748,RSM0673,1.05541
749,RSM1300,1.10662
750,RSM0665,1.69882
751,RSM3416,1.06407
752,RSM3469,1.30199
753,RSM1820,1.28582
754,RSM1377,0.971881
755,RSM4581,0.595166
756,RSM1774,1.30921
757,RSM3378,1.15093
758,RSM2272,0.936546
759,RSM1074,1.52182
760,RSM2957,1.30168
761,RSM1947,1.46535
762,RSM1762,1.14997
763,RSM2156,1.00205
764,RSM1536,1.26807
765,RSM1076,1.85814
766,RSM0862,0.811406
767,RSM0943,1.10204
768,RSM2968,0.852327
769,RSM2982,1.53546
770,RSM1119,0.628355
771,RSM2088,1.25901
772,RSM2630,1.43159
773,RSM4206,0.511155
774,RSM2130,1.10158
775,RSM0763,2.2825
776,RSM2706,1.12982
777,RSM1911,1.33536
778,RSM3194,1.16873
779,RSM0248,1.65675
780,RSM2400,0.995743
781,RSM2694,1.42609
782,RSM0147,2.46346
783,RSM2137,0.858203
784,RSM1952,0.931684
785,RSM1935,0.984318
786,RSM2176,1.44497
787,RSM3103,2.00745
788,RSM1511,0.797947
789,RSM0246,1.65734
790,RSM1349,1.52066
791,RSM3705,0.521936
792,RSM0492,1.23183
793,RSM0497,1.88705
794,RSM1139,1.46029
795,RSM2965,0.998831
796,RSM3045,0.882151
797,RSM3426,1.15527
798,RSM2645,1.23217
799,RSM2621,1.4054
800,RSM1904,1.57617
801,RSM0280,1.32423
802,RSM3392,0.995026
803,RSM3408,1.42476
804,RSM3683,0.641388
805,RSM0151,1.02156
806,RSM2113,0.994964
807,RSM2539,0.491069
808,RSM0824,1.55932
809,RSM4139,1.22382
810,RSM4569,1.02803
